user,location,tweet
TheBoucher410,,"@JoeBiden since you've declared war on the NRA , guns. and I guess anything else that can hurt people, you might wa… https://t.co/MLbIRcODgc"
Juuani999_,,@JoeBiden pedophile
BigBen78591761,,@JoeBiden 15 bucks an hour if u give the church 10% and uncle sam takes 28 % so so Americans are supposed to live o… https://t.co/h4fkLYa6NY
ElyTapia17,,RT @its_menieb: @JoeBiden There’s a huge difference between BLM protests and Trump supporters “protests” https://t.co/msKkqLADmo
MaxSlansky2,,@JoeBiden keep Donald Trump in the White House don’t say you out of here
khansamir517,,@JoeBiden Please start work visa
llavenchi,,@JoeBiden I love me some YOU!!!! Always have and always will!!! So glad you are the people’s president!!!’
VGazet,,@JoeBiden Stop being a liar. Declare to the American people that you stole the 2020 election. Your grand kids shall… https://t.co/67PS41n37J
JohnDane9191,,"@JoeBiden Please bring back Net Neutrality, and repeal the FCC rule that allows Verizon and ATT to see everything w… https://t.co/mRJMK1GZ4e"
28_lezah,,"@JoeBiden So tired of hearing people say don't raise it, hurt small business. Well sorry people are tired of workin… https://t.co/qTdt3fJg5r"
ShinjiShafeeq,Singapore,@JoeBiden @HFMovement Why are you telling us? Its your job to make it happen. We already know. Do you know how much… https://t.co/xyITHYKLeT
DSmith99805636,,@JoeBiden Please help those on disability. I can't live on 812.00 a month.
PrajwalPramod3,"Bengaluru, India",@JoeBiden The government won’t even have to keep paying these stimulus cheques in the first place if everyone is ma… https://t.co/F8GpYrTTER
MrBreez70496510,,"@JoeBiden That makes the economy worse, cmon man"
Barrielclarke,"Vancouver, British Columbia",@JoeBiden @SpeakerPelosi @KamalaHarris @ewarren @HamillHimself @perlmutations @MarkRuffalo i want to bring… https://t.co/daUXMFutlE
CathyTemple6,,@JoeBiden I'm ready
reikimasterjami,"Pennsylvania, USA",@JoeBiden So I will if I making $23 an hour now how much am I going to make?
fireflyflashy,,@JoeBiden From your lips to God’s ears.  😇
TrumpAmerican4,,@JoeBiden How about you get some payback from 🇨🇳....
JoanSmi34197932,,@JoeBiden It starts with you. No more bad mouthing Trump or republicans.
DaRealGuru1,,@JoeBiden I bet I can outbench you anywhere anytime. 235 six reps find me at rockwall Texas if not college station is where I’ll be at
MellathM,,@JoeBiden Pls pls help us to STOP GENOCIDE in Tigray. Eritrean arm killing more civilian people pls let them out in… https://t.co/jZjXZ2fqg0
1455087548,吉隆坡,"@JoeBiden 75M Americans counted on you @realDonaldTrump With 
@HawleyMO
@tedcruz 
@SenJohnKennedy
@RogerMarshallMD… https://t.co/VtwAOjFUwC"
hugshughes,Sydney Australia ,@JoeBiden How is anyone expected to live on $15 an hour seriously ?
AlabamaMarine97,,"@JoeBiden Lets say a 10 year vet of any job has worked his way up to 25 an hour...
The brand new worker making 7.25… https://t.co/8XFRJJU0Pr"
CathyTemple6,,"@JoeBiden Joe ,we have people that don't care about other's, and refuse to wear mask. And then we have all these do… https://t.co/Ygrphn4j6c"
Anissezgr,Morocco,@JoeBiden I urge you to help us get our visa all the dv2020.
Gwendol53954573,"West Hartford, CT",@JoeBiden Your in the wrong platform. Trumps nit here anymore.  Let the anger go
ananta_hamal,,"@JoeBiden Who is Trump?
The most peaceful president USA ever had. The president who achieved record unemployment an… https://t.co/2cufxIGzmv"
ktea421,,@JoeBiden What will happen to social workers whose salary is funded by the government. Will mental health agencies… https://t.co/SOKyTVx52g
JlPolitik,,@JoeBiden Like (D) who totally dissgarded the covid rules they demand there citizens to do?  I mean even me from Sw… https://t.co/n4U6gppFEz
JustinHall0711,Bikini Bottom ,@JoeBiden needs to do what Gavin Newsom did here in Cali and end the death penalty through executive order. With wh… https://t.co/16NwyoBaT3
PaulDBedson,Warwickshire,"@JoeBiden It’s long past time to implement Communism in the USA.
 
I hope that Central Committee of th Chinese Comm… https://t.co/lo2ICLkwmd"
Gwendol53954573,"West Hartford, CT",RT @siaayrom: @JoeBiden What #SleepyJoe is saying is that he's angry that more protesters weren't shot yesterday.  He gets this from the ay…
aliainnit,"Dubai, United Arab Emirates",@JoeBiden All influencers in LA rn: huh? What? Oh *giggle* okay
dagavaq2,"Swannanoa, NC",@JoeBiden please listen to me I have autism and my name is Howard thomas Mike jones I come from hard working people… https://t.co/9rJayNWClF
JackHormozi1,,@JoeBiden No we need you out
thr33dtech,"Istanbul, Turkey",@JoeBiden @LisaMonaco @vanitaguptaCR @KristenClarkeJD Keep saying trash
LissaZahava,A good book or in the clouds.,@JoeBiden $15 dollars in many cities is now old news and below inflation for a living wage but it’s still a start.
MysticUnigon,"Maryland, USA","@JoeBiden And those who have been working hard almost 20 years for a company making a decent amount, not the same as new hires."
Chris53932631,,"@JoeBiden If Mr Biden wants to bridge the differences and repair the rifts in USA, the future government officials… https://t.co/NeGWanCc4J"
WednesdaysChil5,the attic,@JoeBiden And CROSS VENTILATION of areas and rooms.
JimMCVEIGH6,"Canonsburg, PA",@JoeBiden You are a fraud!!!And not my president!!! TRUMP🇺🇸🇺🇸🇺🇸🇺🇸❗❗❗❗
ImranRindBaloc6,,@JoeBiden Small and productive wordings
Oaks2010,"Califórnia, USA",@JoeBiden I hear HUNTER BIDEN?
Rocstarvisuals,"New York, NY","RT @pierre_rochard: @JoeBiden Make it at least $50 an hour, and make it UBI so that people don’t have to work so hard.

People shouldn’t ha…"
mikael008,"Helsinki, Funland","@JoeBiden If you follow Finland’s example as a nation, you will stay safe."
em1692,,@JoeBiden making right the AHCA should correct many policies that due to covid make access to healthcare more expen… https://t.co/WFI4s5K8cf
AhmedElnakeeb12,"بورسعيد, مصر","RT @DV2021_: @JoeBiden We are Diversity Visa selectees who have a deadline on sept. 30 to get our visas.
 Trump's proclamation 10014 limits…"
1980sMan,,"RT @JoesBiden: @JoeBiden The president is not above the law, but your son is."
gpseager,"Birmingham, England ",@JoeBiden Forget it Joe. Go back to sleep.
sandra_samah,,@JoeBiden That will go a long way in curbing the virus
Ja94Name,,@JoeBiden Thank u mr president I love a president that cares about American people
TijaAddams,"Tasmania, Australia",@JoeBiden $19.84 is our minimum wage in Australia
AleksanderT1980,,@JoeBiden @KamzyGunaratnam Masks don't work.
jrseg,,@JoeBiden welcome inflation lol
ananta_hamal,,"@JoeBiden Trump‘s legacy is World Peace.
Trump’s legacy is awakening of mankind.
Trump’s legacy is teaching mankind… https://t.co/AdzoqgVsay"
chen11784970,,"@JoeBiden Hi Joe guess what will happen in 20th January,haha, President Lincoln, president Washington want have a meeting with you"
kit_brit,,@JoeBiden Trump must be held accountable and impeached.
AG_REG,New Jersey,@JoeBiden Way to go Joe 👏
w181624,"Norwalk, CA",@JoeBiden That's great but won't that just cause everything to rise? Make my dollar mean and buy less? Then the $15… https://t.co/xRWn5Pr9uX
Iwannabuckbulls,Bradford ,@JoeBiden Until I get my second stimmy I’m not following your rules dude.
MarketingEQ,"Vancouver, WA",@JoeBiden What about ivermectin as a treatment? Why are we not hearing anything about this too? It's less expensive… https://t.co/cbzsfHZn09
PeTTrO,IN THE HEART OF DARTMOUTH,"@JoeBiden While you're at it Joe, please start making Large corporations pay their fair share of the tax burden.… https://t.co/3fGmOI3RGO"
SirzSirz,,@JoeBiden I mean. Isn't unity the most important thing when deciding a nation? Shouldn't it be both sides having the same amount of control?
roj_tirej,,"@JoeBiden From here I am calling out to the European Union, America and NATO ""The world will not be at peace before… https://t.co/dibwwfc5BO"
doughnutavenger,,@JoeBiden How are small business that are hurt by democratic cities shutting down supposed to survive if they also… https://t.co/gHX2IGciEc
Paulmcg9,"Dublin City, Ireland",@JoeBiden 50 bucks a hour and I might just might lift me head from the pillow and put my twinkle toes out of duvay.and make haste to work.
NeadTina,,@JoeBiden You say  what business you going bring wages up 15.00 hr you need  raise servers wages it’s not everybody… https://t.co/PkOQYmF5gj
AlexTheKidd86,,@JoeBiden I can't wait for AI to take leadership of this country 🤖🤖
HarryPhilemon,"Nairobi, Kenya",@JoeBiden @KamalaHarris Nop..we need riots
Damijo14,,@JoeBiden We believe in you Mr Biden.
BizAdvisor,Everywhere,@JoeBiden What charity will you be donating your salary to President Biden?
Jevikaa2,,@JoeBiden please help pakistanies students🙏🙏
97Mahshid,,"RT @DV2021_: @JoeBiden We are Diversity Visa selectees who have a deadline on sept. 30 to get our visas.
 Trump's proclamation 10014 limits…"
MellathM,,@JoeBiden Pls. We need your urgent help in tigray almost 15 thousand innocent people dead pls pls extend your help to save life in tigray
JackSpa69022811,Pune ,@JoeBiden No its not Woodstock its our Farmers spare us a glance Sir and We feed you the best... https://t.co/LH6eV1vFic
jamie58150460,"Virginia, USA",@JoeBiden You will cause mass closings of small town business because Southwest Virginia can not afford this increase.
45oandy,"Stockton, CA",@JoeBiden Shut yo hypocrite ass up😂🤣
cooljoeblack,DMV IG: Shinobijoe,@JoeBiden People with more money will help created Demand. That Demand will be more than enough for business.  The… https://t.co/hvwEfGC5nt
darkly_dan,North Carolina,@JoeBiden Cost of living goes up. Then where does that leave those who worked hard to get their job? Spent years in… https://t.co/99uifoAdqd
JonGardnerSC, South Carolina,"@JoeBiden What, small business hasn’t suffered enough for you?"
JonWilk10,,@JoeBiden this is the son your so proud of isn’t it? https://t.co/z2paYgZhsr
webbmw17,,RT @gayla_mixon: @JoeBiden PLEASE don’t have outdoor inauguration! CNN said y’all are going to Arlington to lay a wreath. WHY???
Shell72659587,,"@JoeBiden This is almost a double edge sword. Increase minimum wage and people lose hours, get fired and small busi… https://t.co/Pb2L5DNqxR"
BesorgterBrge14,,"@JoeBiden Nearly one year of a Pandemic, millions lost their jobs and starving or died.....and the #wallstreet is c… https://t.co/HAo4Zv4Cv2"
PsycheJujutsu,Tokyo / Silicon Valley,"@JoeBiden Raise it as high and fast as possible!

I’m long on robotics and automation companies."
9373720,"Dhaka, Bangladesh",@JoeBiden Very good Sir.
Scott_Hightower,"Tucson, AZ",@JoeBiden in a few days...@dodi_rains https://t.co/bkc69cuWsB
DROlsen1,,@JoeBiden Wake up!  This insurrection and domestic terrorism is only growing!  WAKE UP DEMOCRATS. You must get tougher!
junacrawf0rd,,RT @SUBRATA30016572: @JoeBiden Together  👇 https://t.co/fqw1z80fLo
tammybanh,,@JoeBiden I have certified nursing assistant CNA that said they will leave their position to work at McD instead of… https://t.co/QzbPLNT5aK
Muthaluva2,,"@JoeBiden I have my doubts, haven't seen anything for years, only now that something directly happened to politicia… https://t.co/JVzjJF36Tf"
Shloimazee,United States,@JoeBiden Bad vibes
sweraosu1,,RT @PSadrag: @JoeBiden @kamlaharris @USCIS @RepRoKhanna #H4EAD #h4 USCIS procedural delay is resulting in severe backlogs in H4-EAD approva…
lochan1978,"Uttara, Dhaka",@JoeBiden Next 1 yr will b challenging 4 u.Opposition will create many obstacles n incidents.remain vigilant.
rodbeaton1949,,RT @Boiler___Up: @JoeBiden I like Presidents that send out messages of peace and unity....I also like Presidents that have twitter accounts…
Phatalistic1,"Meridian, ID",@JoeBiden I work for an 80 year old die hard conservative Trump supporter and I was recently get him to go to 15 an… https://t.co/udRaHTK6RQ
SUBRATA30016572,West Bengal(Kolkata)🇮🇳 INDIA,RT @SUBRATA30016572: @JoeBiden Together  👇 https://t.co/fqw1z80fLo
rodbeaton1949,,"RT @anthonytkaz: @JoeBiden @billymocolorad2 Hold every terrorist accountable,  including those still in government. https://t.co/GHjxsZuo1U"
Toddorado,Colorado,"@JoeBiden @SheeGhee Yeah, I'm sure #MitchMcConnellHatesAmericans won't do everything he can think of to ensure you… https://t.co/AFTY2gQJog"
BigBen78591761,,@JoeBiden MR PRESIDENT LETS GO GROCERIES SHOPPING and put it on t.v. u cant eat healthy on 15. U have to buy shit t… https://t.co/2Ua6WTFH3O
IntlSamola,,RT @Boiler___Up: @JoeBiden I like Presidents that send out messages of peace and unity....I also like Presidents that have twitter accounts…
AhmadAdnan143,"Peshawar, Pakistan",@JoeBiden Great job 👍
john80709660,,"@JoeBiden To build a world economy is best , that includes China Africa Philippines Russia U.K. Australia all of us… https://t.co/BBV3OXf7Qv"
Afamdickson2,,@JoeBiden Make sure you keep your word.....
Tabitha78930256,"Forsyth, GA",@JoeBiden first of I’m so glad that USA have another amazing President. Second I was thinking medical bills should… https://t.co/HnPAaUYIPN
KohNagao,World,"RT @Charles_Lister: @JoeBiden ""To paint #Iran &amp; #AlQaeda as being in a strategic relationship is far more fiction than fact.""

- My comment…"
UmairHaneef8,,@JoeBiden Nice message sir
magaus17,,"@JoeBiden Your number one priority is to hide yourself from getting caught for committing voter fraud, rob us, WE T… https://t.co/WRsgxIT4tD"
KrishnaTriguna2,,@JoeBiden  Hallo
frequensaki,Australia ,@JoeBiden So happy you’re the boss now. Like nothing will ever be perfect but anyone with half a brain knows how go… https://t.co/b1yDZg9ase
USOPETEX510,"Hayward, CA","RT @AngelaBelcamino: @JoeBiden $15 living wage.
Medicaid for all.
Student debt forgiveness.
A green new deal.

Let's go Joe! 🌊"
strongmind_love,United States,"RT @Johnny_Congress: @JoeBiden ONE MORE TIME FOR YOU SICKENING CHEATERS!!!

How come you Joe or @KamalaHarris and the @DNC did not bark whe…"
totohayashi,Hong Kong,@JoeBiden This is cheat and dirt .... you know !!!! #American
mrcryptowonka,Ireland,"@JoeBiden Money machine gun go... Brrrrrrrrrrrr 

$50,000 a year UBI for all the commies! https://t.co/BiEGN4toC3"
AlaaMegawer2,Egypt,"RT @Mohmmed56227303: @JoeBiden Throughout America's history, immigrants have played an important role in shaping the community's growth and…"
sandeshbhangar4,mumbai,"@JoeBiden They not provide me, Traveling facilities, not In Mumbai hotels not provide me staying, attached here wit… https://t.co/yzkprs9VdN"
MMakableh,,@JoeBiden Yes we do need
john80709660,,"@JoeBiden How about , blow the nose regular , really the way to stop cold or flue.  But no body has that common sen… https://t.co/gIiHhHuWmw"
AlemanMarlo,,@JoeBiden I'm so glad that you won the election and I'm going to start getting away from me Cricket ass politics of… https://t.co/T1cN325eke
AmbassadorAew,,@JoeBiden Like we have for TEN MONTHS???
amadubah69, conakry Guinee,@JoeBiden That  right
DorkoToo,"Redding, CA","@JoeBiden Come on Maaaasannnn
Stop Big Tech.   This is not uniting the nation.  I guess you really will be the pres… https://t.co/p8zhS7NjCF"
JoeBeanden,,@JoeBiden I'm Joe Beanden and I approve this message
JBax52,PNW,RT @marcywinograd: @JoeBiden @KamalaHarris @DrBiden Pls do not appear publicly until after Jan. 20th. Thousands of armed National Guards do…
watchingmankind,,"@JoeBiden Maybe then we could afford your ""party boxes.""

https://t.co/JhbVySR7xG"
hthphillips,Sacramento California,"@JoeBiden When the minimum wage increases, will the cost of supplies go up with that? Of course it will along with taxes too."
Patrick74923426,,"@JoeBiden What is this? An American President  (well, soon to be) talking sense? Not sure if I can comprehend that  ..."
gayla_mixon,"Houston, TX",@JoeBiden PLEASE don’t have outdoor inauguration! CNN said y’all are going to Arlington to lay a wreath. WHY???
PramatmaRam,Nepal,@JoeBiden He is going to be Iran and China pro president....@POTUS was a true president
johnstretch,"Lancashire, England",@JoeBiden Why not $100? C'mon Joe. Don't be a meanie
coach_cawyer,,@JoeBiden @Aaron2x I guess bring on another Great Depression...I can’t think of anything to bring it on as quick as… https://t.co/1pUwP2972K
BigBen78591761,,@JoeBiden No American doesn't want to work. No American.  But when it cost u 200 to watch commercials on t.v. WHO T… https://t.co/uvWyUJv00c
AntiSceptick,Canada,@JoeBiden Sleepy Joe urge placebo measure that only affect mental health of citizens not the COVID curve.
Adexgarba,"Lagos, Nigeria",@JoeBiden God bless u and ur cabinet sir. May you prosper sir
BiancaDellore,"São Paulo, Brasil",@JoeBiden Um Brazil they gave this amount cinsidering that Brazilian Reais means nothing bevome US Dollars... gover… https://t.co/ZIPplOxQln
taarneh,,@JoeBiden My answer....to become a peacefull  togetherness in the future society is a futureproof fair economic sys… https://t.co/fD59CN1TKa
RickCas56225653,,@JoeBiden When you still demean President Trump &amp; his supporters?  No thanks that’s not showing unity
3rdBaker,"Reno, USA",@JoeBiden I can't live off that I think 30 and hour will do the job with a good medical.
JeffBenzos19,,"@JoeBiden Hey joe, my buddy @JConte99 told me you have major swamp ass/ swamp nuts is there any truth to this ?"
bobguo91,,@JoeBiden JoeBiden is the big guy and cheated
fogul123,,@JoeBiden This will make prices go up everywhere. Job losses. Hours cut. more on assistance. What we need is less o… https://t.co/kmP77MxoA2
ShadoeSmith,"Charleston, WV","@JoeBiden I agree. No matter what, people won't be happy. Always gonna be THAT one person/people. #CantPleaseEverybody"
mell_craft,,"RT @mell_craft: @JoeBiden SCARIEST TIME IN US HISTORY? HOME TERRORISTS STRIKES THE HEART OF AMERICAN GOVERNMENT,ITS AS URGENT AS COVID WHY…"
VivianaCon92,,"@JoeBiden Thank you, Sir."
mell_craft,,"@JoeBiden SCARIEST TIME IN US HISTORY? HOME TERRORISTS STRIKES THE HEART OF AMERICAN GOVERNMENT,ITS AS URGENT AS CO… https://t.co/wSi01Gjadw"
haleiwabecf,"Haleiwa, HI",@JoeBiden Think about those who made more than the maximum eligibility limit who AREN’T making that any more becaus… https://t.co/707yGU2gXS
pascalhonisch,"Wien, Österreich",@JoeBiden I'm thankful that @BernieSanders brought that on the Agenda!
taarneh,,@JoeBiden My answer....to become a peacefull  togetherness in the future society is a futureproof fair economic sys… https://t.co/nJZWWks1PB
topstrikaa,Saturn,"@JoeBiden @QueThePromoter once again, so do it"
LloydRyan20,"Nashville, TN",@JoeBiden Thanks Joe. I'm running out of patience. DONT SPREAD ON ME
YenL45676561,台灣,"@JoeBiden you were followed, mr new president"
SsemagandaD,Uganda,@JoeBiden @BorisJohnson @HouseofCommons @UKHouseofLords @Europarl_EN @SecretService @usmissionuganda @amnestyusa… https://t.co/Xl0UYT7i1N
killacali909,"Los Angeles, CA",@JoeBiden Masks don’t work.
WhosJaime,Atlanta/South Florida/NYC,@JoeBiden what do you plan to do about North Ikea
EphraimRobert,"Greater Accra, Ghana",@JoeBiden Life is extremely unfair.
ShopPandemic,#WashingtonDC,RT @its_menieb: @JoeBiden There’s a huge difference between BLM protests and Trump supporters “protests” https://t.co/msKkqLADmo
voice_working,,@JoeBiden I urge you to forgive student loans ...allow student debt to be discharged in bankruptcy ...for profit co… https://t.co/d5e3oeOsw7
wils152,"England, United Kingdom","@JoeBiden Came for the inspiration, stayed for the whackjob hoax comments."
MSFTLoverHorace,,"@JoeBiden Yeah, people should have done that looooong before! That's the right and only way to fight against the virus"
DoeDoLLa,New York,@JoeBiden Good Trouble Face Mask $6 https://t.co/pSUSMfm6Eg
RoisteringYouth,,"@JoeBiden Fall Out Boy - Dance, Dance (Closed Captioned, With Prologue) https://t.co/Je3p2AKwjv via @YouTube"
bswiggityy,,"@JoeBiden You’re literally about to be the president, you better have a lot more than hope"
hhumanity1,,@JoeBiden I wish that Obama's original Administration in the first two years had thought that very same thing inste… https://t.co/dDXyZ3VNTY
Baako14,Tamale.,@JoeBiden Perfectly said your Excellency
PeggyPa06589853,,"@JoeBiden Thanks to Operation Warp Speed and President Trump, we have a vaccine!"
u2_2017,,RT @Boiler___Up: @JoeBiden I like Presidents that send out messages of peace and unity....I also like Presidents that have twitter accounts…
zamarasg,,RT @CFCJIMMY14: @JoeBiden I speak for every true American citizen when I say we are so proud that @JoeBiden will become the 46th president…
MohanBa54923485,"Agra, India","@JoeBiden Sir,  For you and Mr Bill Burn to peruse &amp; ponder over:

If d nuclear deal fails thru, Iran will be lost… https://t.co/Sx9iQ7cwWA"
Pirvu69,,"@JoeBiden
@KamalaHarris

This things have been told for decades but no one listened. https://t.co/XSHo7KgGal"
Ralotoris1,,@JoeBiden end the virus so we can back to normal and maintain the system.
robynregan,"Coolum Beach, Qld, Australia",@JoeBiden Oh what is this? A sensible United States of American leader?
rinjr715,,@JoeBiden You wanna raise it even if that causes a lot of people to lose their jobs?
MeissaHDiouf,France,@JoeBiden HEALTH CARE FIRST !!!!
SkrewBig,,@JoeBiden Oh Yes! Please raise that minimum wage to $15/hr and see the results! We will all sit back and laugh when… https://t.co/UvrkCzffm3
MukeshS46299304,"Rajasthan, India","@JoeBiden Sir gold Saler list sir (das Ji +237679033408)
(+237651478427 James Ji Africa )
(+26776771955 Kenny Afric… https://t.co/GR0CaTneXD"
3012Anagha,,@JoeBiden Biden is not my president
MukeshS46299304,"Rajasthan, India","@JoeBiden Sir gold Saler list sir (das Ji +237679033408)
(+237651478427 James Ji Africa )
(+26776771955 Kenny Afric… https://t.co/2oVWvREZRx"
CorbenDallas007,København,@JoeBiden You should secure that you have strong unions that have the right tools to negotiate a decent wage for the workers!
baronlord2,,@JoeBiden Im not taking that shit
361cherisa,FL,@JoeBiden True
RobertBerube19,,"@JoeBiden Promoting under the table labor, nice!!"
TKOdrew,"Peachtree City, GA",@JoeBiden How about college graduates with degrees?  What do we get paid?  You would have to raise the pay for us then.
JoAnneW91991672,,@JoeBiden An eagle needs two wings to fly straight! Don’t destroy the Republican Party! God Bless America!
ceecorniel,,@JoeBiden WHO BUILT THE CAGES JOE?
JohannesVick,"Philadelphia, PA",@JoeBiden This ones for you popcorn https://t.co/TsG0tYcoNA
ReubenMann6,,@JoeBiden @GabbyGiffords That's me Ronaldo https://t.co/ZTpWHNlAeS
GLMYT,"San Francisco, CA",@JoeBiden You realize that minimum wage is already $15 in parts of the country? If a persons lunch costs more than… https://t.co/vE17Mq7maM
CSpottswood,,@JoeBiden You have had 2 shots and most have had none. Your priorities are messed up. And now you want to waste 1/2… https://t.co/HfcUgVDw2K
Msmvictim1,,"@JoeBiden ""I hope""

Aka he's getting excuses ready"
iamhemantshinde,"Mumbai, India","@JoeBiden New President Rap 🇺🇲🇮🇳
By @iamhemantshinde

Love from India 🇮🇳

@JoeBiden @AOC @ossoff
@KamalaHarris… https://t.co/CZQVSCutOP"
supazeez,"Itori, Nigeria","RT @CcDbee: @JoeBiden President Biden, Ivanka Trump should not  attend your inauguration. She incited the insurrection riot at rallies cont…"
ElvinaStevens10,United States,@JoeBiden Thank You Mr. President Joe Biden... I want you to know that I'm extremely scared of needles still at 60… https://t.co/UE0UIHL2CP
CowsillDeborah,,"@JoeBiden Yes please Mr Biden, $600 . well why doesn't Congress tell us what $600 does for them ever. Gas for one o… https://t.co/gsfZ8IjCFI"
SirDenzington,,@JoeBiden What a brilliant way to shut down more businesses
bamalam12283508,,@JoeBiden Make America great again support trump
nikolovski33,,@JoeBiden I urge YOU to stop playing with kiddies
NicoleBurnscom,Southern California,@JoeBiden @mssjackson2 But can I pay a penny less 🧐
AndrewHawk1326,"Tacoma, WA",@JoeBiden And tie the federal minimum wage to the cost of living and inflation so it goes up automatically every ye… https://t.co/NXS1h7zezU
King_Acme,"Washington, DC",@JoeBiden Things cost the same in Manhatten as they do in rural Iowa?
dustin_buch,,"@JoeBiden Joe Biden Reminds us the bar is so low, but yet as far as Republicans go: https://t.co/0vK8MRHURq"
NixonGhostof,,@JoeBiden @MaryLTrump should get a medal of freedom just for having to deal with her family
Lefe48314724,,@JoeBiden your a f______ looser
AliWaqa59931959,"Bahawalpur, Pakistan",@JoeBiden Good our prime Minister should take a lead from it....
iamhemantshinde,"Mumbai, India","@JoeBiden New President Rap 🇺🇲🇮🇳
By @iamhemantshinde

Love from India 🇮🇳

@JoeBiden @AOC @ossoff
@KamalaHarris… https://t.co/5JaRehCCeh"
NoraBsn,"New York, USA","@JoeBiden God Bless You and your Family, Sir. You are a very courageous man, Sir"
D9434855166,"17 N.H., Falakata, Alipurduar.",@JoeBiden Maximum people don't abide by the rules. Community Human Rights trying to make their minds.
ASAPHenrry,NY,@JoeBiden I have faith in you. You know what we did for you. All I’m saying is you mess up. Don’t create no big bro… https://t.co/iqxUlWIBsO
FyahArounsavath,Gemini Landing,@JoeBiden They’ve got fans in stadiums... tell them this
GWSFINN,sweetener world tour,@JoeBiden change american to everyone
j4ckl3,Someplace at any given time.,@JoeBiden Should be $100 an hour.
ed_warp,t.RUMP Tower Manhattan,@JoeBiden @SpeakerPelosi    Trump and his co-conspirators should not be given a free pass just because they were to… https://t.co/2OcMwwaXPK
RICHARDWALLEN9,"SEWELL, NJ 08080",@JoeBiden  you please require Medicare and Medicare Advantage to provide coverage for Shingles vaccine. It is quite costly.
Lu_Die_Milchkuh,Luxemburg,@JoeBiden And change the gun law pls. There is no reason that anyone should own a Full Auto 🤦‍♂️
carlos76647336,,@JoeBiden #That’s right
waynem82,"Bellaire, OH ",@JoeBiden Hey joe shut up we already know what to do . Duh
JeanJeteme4,,@JoeBiden Joe Iam always here for you here Full steam ahead Dont leave home with out your mask keep several in door… https://t.co/wQYu5cG5yB
an1_world,,"@JoeBiden @JoeBiden: ""Appeal To [@UNGeneva+All Countries' Govt. Authority]"" as ""Not To Allow (Delegate+… https://t.co/iPc7ou5zCA"
jayjaymccrae,"New York, USA",@JoeBiden Mr. President @JoeBiden thank you for your leadership 👑 https://t.co/xymqcEkj7m
Sana46664931,,@JoeBiden Yeah the other one started with we need to build as well!! Let's work on getting out lives back to normal… https://t.co/0sPInerLT5
JoAnneW91991672,,@JoeBiden Please stop the madness! Start unifying the Country! Please. Thanks.
Broy3434,,@JoeBiden Too bad half the country doesn’t even try
CharlieMadrid12,United States,"@JoeBiden Love you President Elect Joe Biden! I have faith in you, I know you will bring this country together. You… https://t.co/iNb7nZ1MSY"
uwu27675757,,@JoeBiden Id only wear mask to avoid ur yee yee ass breath 😝
flick1st1,WorldWide,@JoeBiden Less talk more action
carte_blanchee,"Pittsburgh, PA","RT @Iamconfused9: @JoeBiden @SenKamalaHarris 
Pardon Reality Winner  1/21/21
https://t.co/M5eyWSTCcD"
leoliam136,,"@JoeBiden @CaUnemployed Hiring part-time/full-time(a personalized administrative support /personal assistant 
Locat… https://t.co/vl9dJz9Orp"
BigBen78591761,,@JoeBiden The option that raising federal 750 to 15 dollar a hour is totally joke when college is 100 k. Rent is 40… https://t.co/f6gJjOpbkU
euterpe_samuse,,"@JoeBiden ""Stay socially distanced"" and ""step up together"" does not match. Let's try again 😊"
rohan6442,,"@JoeBiden Hey joe, my buddy @jeffbenzos19 told me you have major swamp ass / swamp balls. Is there any truth to this?"
LashonTrisha,"Warner Robins, GA",@JoeBiden Thank you Mr President
Air3Shiny,,@JoeBiden No bc trump should have won
PeconicLady,Southern California,"RT @PeconicLady: @JoeBiden @DrBiden @KamalaHarris @DouglasEmhoff 
Don't go to Arlington!
No exterior public inauguration😥 Please 
WE worked…"
Sana46664931,,@JoeBiden Leave us alone! Get the vaccine out and give us back the freedom you govts took!! Tired of it! I don't wa… https://t.co/J7B6uNaFpe
Aleks71372120,,"@JoeBiden We belive,that you will help us achive justice,but we have very little time..#DV2020 #DV2021 #NoBan"
SikoraGrant,Cumbria,@JoeBiden Sleepy joe
4FR_Trader,,"@JoeBiden who is paying for that? The FED? Sure everybody can even earn at least $20 an hour, but it won't be worth… https://t.co/rmPmY0iwSq"
Jessica12228174,,@JoeBiden cant pay 15 bucks when ur 2025 and 2030 agendas want everything closed along with a fake azz virus ya all… https://t.co/ae5lZDExUC
tacman119,,RT @hodgetwins: @JoeBiden Your kid is above the law apparently.
lott_kendall,,"@JoeBiden When we think about what happened in Osage,Pennsylvania in 1985,we know what would happen if Blacks stormed the Capitol."
Sana46664931,,@JoeBiden I can't hire anyone at $15 without going out to work labor to pay them!! Okay so stop the Corona nonsense… https://t.co/RExJioLmtM
troxellcarter2,,@JoeBiden This is it #TogetherWeFight
SEnemanna,,@JoeBiden Stop talking until you are sworn in. Nobody is best in administration.
assah_kwaku,,@JoeBiden Thank you
theatremajor10,"Los Angeles, CA","@JoeBiden Even $15 is not a livable wage. Landlords need to have some kind of limit, rent is out of control. @KamalaHarris"
TonyShaw0928,,@JoeBiden sleep Joe！need money and sex to wake up.
RICHARDWALLEN9,"SEWELL, NJ 08080",@JoeBiden can you exert your influence to force medical insurance companies to provide the shingles vaccine for tho… https://t.co/kO1Nf29NHM
